activity_id,activity_ja,activity_en,search
1,スタンドアップパドルボード（SUP）,sup,done
2,フライボード（水圧で空を飛ぶ）,flyboard,
3,パラセーリング,parasailing,
4,カイトサーフィン,kitesurfing,
5,ウェイクボード,wakeboarding,done
6,サーフィン,surfing,done
7,ウインドサーフィン,windsurfing,
8,ヨット,yacht,
9,シュノーケリング,snorkelling,
10,バナナボート・トーイングチューブ,bananaboat,
11,カヌー・カヤック,canoe,done
12,ウェイクサーフィン,wakesurfing,
13,ホバーボード,water-hoverboard,
14,ホエールウォッチング,whale-watching,
15,シーボブ,seabob,
16,ジェットベイター,jetovator,
17,シーウォーク・潜水スクーター,seawalker,
18,海釣り・釣り船,fishing,
19,ジェットパック,jetpack,
20,ジェットブレード,jetblade,
21,体験ダイビング(初心者OK),scuba-beginner,
22,ダイビングライセンス取得,scuba-lessons,
23,ファンダイビング(ライセンス必須),fun-diving,done
24,ボディーボード,body-board,
25,スキムボード,skimboard,
26,イルカウォッチング,dolphin-watching,
27,ジェットスキー,jet-skiing,
28,ウォーターバード,waterbird,
29,SUPヨガ,sup-yoga,
30,スキンダイビング,skin-dive,
31,マーメイド体験,mermaid-experience,
32,ラフティング,rafting,done
33,キャニオニング・シャワークライミング,canyoning,
34,ハイドロスピード・リバーブギ,hydrospeed,
35,ダッキー,inflatablekayak,
36,ウォータージャンプ,waterjump,
37,川釣り・湖釣り,river-fishing,
38,トレッキング（登山/ハイキング）,trekking,done
39,MTB（マウンテンバイク）,mtb,
40,ケイビング（洞窟探検）,caving,
41,マウンテンボード,mountainboard,
42,四輪バギー,buggy,
43,バンジージャンプ,bungee,done
44,ツリーイング（木登り）,treeclimbing,
45,ホーストレッキング,horse-trekking,
46,フォレストアドベンチャー,forest-adventure,done
47,サバゲー（サバイバルゲーム）,airsoft,done
48,アスレチック・ジップライン,zip-line,
49,乗馬,horse-riding,
50,BBQ,bbq,done
51,キャンプ・キャンピングカー,camper-officerental,done
52,クライミング,climbing,
53,ブリッジスイング,bridgeswing,
54,ノルディックウォーキング,nordic-walking,
55,パラグライダー,paraglider,done
56,スカイダイビング,skydiving,done
57,ハンググライダー,hanggliding,done
58,熱気球,airballoon,
59,ゴーカート,kart,
60,セグウェイ,segway,
61,モトクロス,motocross,
62,ライン下り,japanese-rafting,done
63,Eボート,rubber-canoe,
64,ジェットボート,jetboats,
65,クルージング,cruising,
66,セスナ遊覧,cessna-sightseeing,
67,ヘリコプター遊覧,helicopter-sightseeing,
68,グラスボート,glass-boat,
69,サイクリング・ポタリング,cycling,done
70,公道カート,public-road-go-karting,
71,いかだ,japanese-raft,
72,屋形船,yakatabune,
73,人力車,jinriki-sya,
74,レンタサイクル,bicycle-rental,
75,リムジンレンタル,limousine-rental,
76,ボルダリング,bouldering,
77,ヨガ教室,yoga,
78,ビーチテニス,beach-tennis,
79,ダンス教室,danceexperience,
80,ビーチヨガ,beach-yoga,done
81,ランニング・フィットネス,running-fitness,
82,リラクゼーション・ヘルスケア,relaxation,
83,伝統文化体験,japan-culture,
84,舞妓・花魁体験,maiko-experience,
85,沖縄文化体験,okinawa-cultural,
86,護摩修行,homa,
87,着物・浴衣レンタル,kimono-rental,
88,忍者・侍・武士体験,samurai-experience,
89,江戸切子体験,edo-kiriko,
90,茶道体験・茶道教室,tea-ceremony,
91,書道体験・書道教室,calligraphy,
92,写経体験,hand-copying-sutra,
93,座禅体験,zen-meditation,
94,太鼓(和太鼓)体験,Japanese-drum,
95,生け花教室,ikebana,
96,武道･武術体験,martial-arts,
97,陶芸体験･陶芸教室,ceramics,
98,ガラス細工･ガラス工房,glass-craft,
99,シーサー作り,shisa-making,
100,箸作り体験,chopsticks-making,
101,マリンクラフト,seashell-crafts,
102,染物体験,dyeing-experience,
103,キャンドル作り,candle-making,
104,アクセサリー作り,making-accessories,
105,機織り体験･機織り教室,weaving-experience,
106,サンドブラスト,sandblasting,
107,フラワーアレンジメント教室,flower-arrangement,
108,レザークラフト教室,leather-craft,
109,ポーセラーツ教室,poseratsu,
110,フォトフレーム作り,photoframe-making,
111,手作りランプシェード教室,handmade-lampshade,
112,オルゴール作り体験,musicbox-making,
113,食品サンプル作り,foodsample-making,
114,とんぼ玉作り体験,dragonfly-ball,
115,楽器作り体験・楽器作り教室,instruments-making,
116,チョークアート教室,chalkart,
117,調香体験,incense-making,
118,靴作り体験・靴作り教室,shoe-making,
119,紙漉き体験,paper-making,
120,木工体験・木工教室,woodworking,
121,彫刻教室,sculpture,
122,洋服作り体験・洋裁教室,dressmaking,
123,絵画・ペイント教室,painting,
124,クレイアート教室,clayart,
125,カービング教室,carving,
126,石鹸作り体験,soap-making,
127,手作りバッグ教室,bag-making,
128,組紐体験・組紐教室,plaited-cord,
129,苔玉作り,kokedama,
130,インテリア・雑貨作り教室,interior-making,
131,化粧品作り体験,cosmetics-making,
132,料理教室・食べ物作り,food-making,
133,そば打ち体験・そば打ち教室,udon-soba-making,
134,寿司作り体験,sushi-making-experience,
135,パン作り教室,bread-making,
136,うどん作り体験,udon-making,
137,ピザ作り体験,pizza-making,
138,お菓子作り体験,sweets-making,
139,花火大会,fireworks,
140,観光ガイドツアー,sightseeing-guided-tour,
141,バスツアー,bustour,
142,エコツアー・ネイチャーガイドツアー,ecotour,
143,ナイトツアー,nighttour,
144,史跡・名所巡り,historic-sites,
145,酒蔵・ワイナリー巡り,winery-tour,
146,工場見学,factory-tour,
147,天体観測・星空観測,starry-sky,
148,漁業体験,fishery-experience,
149,農業体験,agriculture-experience,
150,酪農体験,dairy-making,
151,味覚狩り,taste-hunting,
152,ブルーベリー狩り,blueberry-hunting,
153,イチゴ狩り,strawberry-picking,
154,梨狩り,harvest-pears,
155,ぶどう狩り,harvest-grape,
156,桃狩り,harvest-peach,
157,さくらんぼ狩り,harvest-cherry,
158,りんご狩り,harvest-apple,
159,きのこ狩り,harvest-mushroom,
160,みかん狩り,harvest-mandarin,
161,最新アクティビティ,new-activity,
162,レジャー施設,leisure-facilities,
163,劇場・ショーレストラン,show-restaurant,
164,カジノバー,casino-bar,
165,脱出ゲーム,escape-game,
166,VR体験,vr-experience,
167,動物カフェ,animals-cafe,
168,メイド喫茶,maid-cafe,
169,コスプレ写真,cosplay-photography,
170,楽器・音楽教室,musical-instrument-experience,
171,フライトシュミレーター,flight-simulator,
172,飲食施設・レストラン,restaurant,
173,診断・占い,diagnosis,
174,写真撮影・フォトスタジオ,photography-studio,
175,イベント・パーティ,event-party,
176,スノーシュー,snowshoeing,
177,バックカントリー,backcountry,
178,テレマークスキー,telemark-skiing,
179,クロスカントリースキー,crosscountryskiing,
180,スキースクール,ski-lessons,
181,スノーボードスクール,snowboard-lessons,
182,スノーカイト,snowkite,
183,エアボード,snow-airboard,
184,ソリ・スライダー,snow-slider,
185,雪上トーイング,snow-towing,
186,犬ぞり,dogsled,
187,スノーモービル,snowmobile,
188,ワカサギ釣り,smeltfishing,
189,流氷ウォーク,drift-ice-walk,